iter	Passed	Remaining
0	2	2402
1	4	2067
2	5	1886
3	7	1814
4	9	1840
5	10	1810
6	12	1805
7	14	1788
8	16	1834
9	18	1822
10	20	1808
11	21	1790
12	23	1766
13	25	1780
14	26	1769
15	28	1765
16	30	1760
17	32	1778
18	35	1820
19	36	1812
20	38	1801
21	40	1786
22	41	1778
23	43	1765
24	45	1767
25	46	1758
26	48	1753
27	50	1747
28	51	1738
29	53	1742
30	57	1788
31	59	1799
32	61	1799
33	63	1796
34	64	1790
35	66	1784
36	68	1780
37	70	1773
38	71	1774
39	73	1768
40	75	1762
41	77	1756
42	79	1763
43	81	1771
44	83	1768
45	85	1777
46	87	1775
47	89	1782
48	92	1790
49	93	1784
50	96	1795
51	98	1788
52	99	1785
53	101	1780
54	103	1775
55	105	1781
56	108	1795
57	110	1786
58	111	1780
59	113	1774
60	115	1779
61	117	1772
62	118	1768
63	121	1772
64	122	1766
65	124	1762
66	126	1756
67	127	1751
68	129	1746
69	130	1740
70	132	1737
71	135	1741
72	136	1736
73	138	1729
74	139	1725
75	142	1731
76	144	1726
77	145	1722
78	147	1717
79	149	1713
80	150	1709
81	152	1703
82	154	1701
83	155	1696
84	157	1695
85	159	1690
86	160	1685
87	162	1688
88	165	1690
89	167	1694
90	169	1695
91	171	1691
92	173	1687
93	175	1689
94	176	1684
95	178	1680
96	180	1675
97	182	1676
98	183	1671
99	185	1667
100	186	1662
101	188	1658
102	189	1654
103	191	1650
104	193	1647
105	195	1648
106	197	1646
107	198	1643
108	200	1639
109	202	1638
110	204	1634
111	205	1630
112	207	1631
113	209	1630
114	211	1629
115	213	1625
116	215	1628
117	217	1625
118	219	1626
119	221	1623
120	223	1621
121	225	1620
122	227	1619
123	228	1616
124	230	1613
125	232	1612
126	234	1608
127	235	1605
128	237	1602
129	239	1605
130	241	1601
131	242	1597
132	244	1593
133	246	1590
134	247	1586
135	249	1587
136	251	1586
137	253	1582
138	254	1579
139	256	1576
140	258	1572
141	259	1569
142	261	1565
143	262	1561
144	264	1558
145	265	1555
146	267	1552
147	269	1551
148	271	1547
149	272	1544
150	274	1545
151	276	1543
152	278	1542
153	280	1539
154	282	1541
155	284	1538
156	286	1535
157	287	1533
158	289	1531
159	291	1531
160	294	1532
161	295	1529
162	298	1530
163	299	1528
164	301	1526
165	303	1522
166	304	1519
167	306	1518
168	308	1515
169	310	1514
170	311	1511
171	314	1511
172	316	1512
173	318	1512
174	320	1509
175	322	1507
176	323	1505
177	325	1503
178	327	1500
179	328	1497
180	330	1494
181	332	1495
182	334	1493
183	336	1490
184	337	1487
185	339	1484
186	340	1481
187	342	1479
188	344	1476
189	345	1473
190	347	1470
191	348	1467
192	350	1465
193	351	1462
194	353	1459
195	355	1458
196	357	1457
197	359	1456
198	361	1453
199	363	1452
200	364	1450
201	366	1448
202	368	1446
203	370	1444
204	372	1443
205	374	1441
206	375	1439
207	377	1437
208	379	1435
209	381	1435
210	383	1434
211	385	1431
212	387	1429
213	389	1430
214	391	1428
215	393	1426
216	394	1424
217	396	1422
218	398	1420
219	399	1418
220	401	1415
221	403	1413
222	405	1411
223	406	1408
224	408	1405
225	410	1405
226	411	1402
227	413	1400
228	415	1398
229	417	1396
230	418	1393
231	420	1391
232	421	1388
233	423	1386
234	425	1383
235	426	1381
236	428	1378
237	429	1376
238	431	1374
239	433	1371
240	435	1372
241	437	1369
242	439	1368
243	440	1365
244	442	1364
245	444	1362
246	446	1360
247	447	1358
248	449	1356
249	451	1354
250	453	1352
251	454	1350
252	456	1348
253	458	1346
254	460	1343
255	462	1343
256	464	1342
257	466	1340
258	467	1338
259	469	1336
260	471	1335
261	473	1334
262	475	1333
263	477	1331
264	479	1329
265	481	1327
266	482	1325
267	484	1323
268	486	1322
269	488	1320
270	490	1318
271	491	1316
272	493	1314
273	495	1312
274	497	1312
275	499	1310
276	501	1308
277	502	1305
278	504	1304
279	506	1301
280	507	1299
281	510	1298
282	512	1298
283	514	1296
284	515	1293
285	517	1291
286	518	1289
287	520	1287
288	522	1284
289	523	1282
290	525	1279
291	527	1278
292	529	1276
293	530	1274
294	532	1272
295	534	1270
296	536	1268
297	537	1266
298	539	1264
299	540	1262
300	542	1259
301	544	1258
302	546	1256
303	547	1253
304	549	1252
305	551	1250
306	553	1249
307	554	1246
308	556	1244
309	558	1242
310	559	1239
311	562	1239
312	563	1237
313	565	1234
314	566	1232
315	568	1230
316	570	1228
317	571	1226
318	573	1224
319	575	1222
320	577	1220
321	578	1218
322	580	1216
323	582	1215
324	584	1214
325	586	1212
326	588	1210
327	589	1208
328	591	1206
329	593	1205
330	596	1204
331	598	1204
332	600	1202
333	602	1200
334	604	1199
335	606	1198
336	608	1196
337	610	1196
338	612	1194
339	614	1192
340	616	1191
341	618	1189
342	620	1189
343	622	1187
344	625	1188
345	628	1188
346	630	1186
347	632	1185
348	634	1184
349	637	1183
350	639	1181
351	641	1180
352	643	1179
353	645	1177
354	648	1177
355	649	1175
356	651	1173
357	653	1171
358	654	1169
359	656	1167
360	658	1165
361	660	1163
362	661	1161
363	663	1159
364	665	1157
365	666	1154
366	668	1152
367	670	1150
368	671	1148
369	673	1147
370	675	1144
371	677	1143
372	678	1141
373	680	1138
374	681	1136
375	683	1134
376	685	1132
377	687	1130
378	688	1128
379	690	1126
380	692	1124
381	693	1122
382	695	1120
383	697	1118
384	699	1116
385	700	1114
386	702	1112
387	704	1111
388	706	1109
389	707	1106
390	710	1106
391	712	1104
392	713	1102
393	715	1100
394	717	1098
395	718	1096
396	720	1093
397	722	1092
398	723	1090
399	726	1089
400	728	1087
401	730	1086
402	733	1086
403	734	1084
404	736	1082
405	738	1080
406	739	1078
407	741	1075
408	743	1073
409	745	1072
410	746	1070
411	748	1068
412	750	1066
413	752	1064
414	753	1062
415	755	1061
416	757	1058
417	758	1056
418	760	1054
419	762	1052
420	764	1051
421	766	1049
422	767	1047
423	769	1045
424	770	1043
425	772	1040
426	774	1038
427	775	1036
428	778	1035
429	780	1034
430	783	1033
431	785	1032
432	788	1032
433	790	1031
434	792	1029
435	794	1027
436	795	1025
437	797	1023
438	799	1021
439	801	1019
440	802	1017
441	804	1016
442	806	1014
443	808	1012
444	809	1010
445	811	1007
446	813	1006
447	814	1003
448	816	1002
449	818	1000
450	820	998
451	822	997
452	824	995
453	826	993
454	828	991
455	829	989
456	832	988
457	834	987
458	836	986
459	838	984
460	841	983
461	842	981
462	844	979
463	846	977
464	848	975
465	849	973
466	851	972
467	853	970
468	855	969
469	857	967
470	860	966
471	861	963
472	863	962
473	864	959
474	866	957
475	868	956
476	870	954
477	872	952
478	874	950
479	875	948
480	877	946
481	879	944
482	881	943
483	883	941
484	885	940
485	888	939
486	889	937
487	891	935
488	893	933
489	895	932
490	897	930
491	899	928
492	901	926
493	903	925
494	905	923
495	907	921
496	909	920
497	911	919
498	913	917
499	916	916
500	917	914
501	920	912
502	921	910
503	923	908
504	924	906
505	926	904
506	928	902
507	929	900
508	931	898
509	933	897
510	935	895
511	937	893
512	938	891
513	940	889
514	942	887
515	943	885
516	945	883
517	947	881
518	948	879
519	950	877
520	952	875
521	955	874
522	957	873
523	959	871
524	961	869
525	963	868
526	965	866
527	967	864
528	969	862
529	970	860
530	972	858
531	973	856
532	975	854
533	977	852
534	978	850
535	980	848
536	983	848
537	985	846
538	987	844
539	988	842
540	991	841
541	993	839
542	995	837
543	997	835
544	998	833
545	1000	831
546	1002	829
547	1003	827
548	1005	826
549	1007	824
550	1009	822
551	1011	820
552	1012	818
553	1014	817
554	1017	815
555	1018	813
556	1020	811
557	1022	809
558	1023	807
559	1025	805
560	1027	803
561	1028	801
562	1031	800
563	1033	798
564	1035	796
565	1036	794
566	1038	792
567	1040	791
568	1042	789
569	1044	787
570	1045	785
571	1047	783
572	1048	781
573	1050	779
574	1052	777
575	1053	775
576	1055	774
577	1057	772
578	1059	770
579	1061	768
580	1062	766
581	1064	764
582	1066	762
583	1068	761
584	1070	759
585	1072	757
586	1073	755
587	1075	753
588	1076	751
589	1078	749
590	1080	747
591	1082	746
592	1084	744
593	1086	742
594	1088	740
595	1089	738
596	1091	736
597	1093	734
598	1094	732
599	1096	731
600	1098	729
601	1100	727
602	1102	725
603	1104	723
604	1105	721
605	1107	719
606	1108	717
607	1110	716
608	1112	714
609	1114	712
610	1115	710
611	1117	708
612	1118	706
